Unemployment Rate in Ohio (OHUR) | FRED | St. Louis Fed (stlouisfed.org),
DATE,OHUR
1/1/2017,5.3
2/1/2017,5.2
3/1/2017,5.1
4/1/2017,5.1
5/1/2017,5
6/1/2017,5
7/1/2017,5
8/1/2017,4.9
9/1/2017,4.9
10/1/2017,4.8
11/1/2017,4.7
12/1/2017,4.6
1/1/2018,4.6
2/1/2018,4.5
3/1/2018,4.5
4/1/2018,4.5
5/1/2018,4.5
6/1/2018,4.5
7/1/2018,4.5
8/1/2018,4.4
9/1/2018,4.5
10/1/2018,4.5
11/1/2018,4.5
12/1/2018,4.5
1/1/2019,4.4
2/1/2019,4.2
3/1/2019,4.1
4/1/2019,4
5/1/2019,3.9
6/1/2019,4
7/1/2019,4.1
8/1/2019,4.2
9/1/2019,4.3
10/1/2019,4.3
11/1/2019,4.3
12/1/2019,4.4
1/1/2020,4.5
2/1/2020,4.6
3/1/2020,4.8
4/1/2020,16.4
5/1/2020,12.7
6/1/2020,11
7/1/2020,9.9
8/1/2020,8.4
9/1/2020,7.6
10/1/2020,6.8
11/1/2020,6.5
12/1/2020,6.2
1/1/2021,6
2/1/2021,5.8
3/1/2021,5.7
4/1/2021,5.6
5/1/2021,5.4
6/1/2021,5.3
7/1/2021,5.1
8/1/2021,4.9
9/1/2021,4.7
10/1/2021,4.5
11/1/2021,4.5
12/1/2021,4.5
1/1/2022,4.3
